district,state,statecode,zone
Tonk,Rajasthan,RJ,2.0
Tuensang,Nagaland,NL,1.0
Tumakuru,Karnataka,KA,2.0
Udaipur,Rajasthan,RJ,2.0
Udalguri,Assam,AS,1.0
Udham Singh Nagar,Uttarakhand,UT,2.0
Udhampur,Jammu and Kashmir,JK,2.0
Udupi,Karnataka,KA,2.0
Ujjain,Madhya Pradesh,MP,3.0
Ukhrul,Manipur,MN,1.0
Umaria,Madhya Pradesh,MP,1.0
Una,Himachal Pradesh,HP,2.0
Unnao,Uttar Pradesh,UP,2.0
Unokoti,Tripura,TR,1.0
Upper Dibang Valley,Arunachal Pradesh,AR,1.0
Upper Siang,Arunachal Pradesh,AR,1.0
Upper Subansiri,Arunachal Pradesh,AR,1.0
Uttar Bastar Kanker,Chhattisgarh,CT,1.0
Uttar Dinajpur,West Bengal,WB,1.0
Uttara Kannada,Karnataka,KA,2.0
Uttarkashi,Uttarakhand,UT,1.0
Vadodara,Gujarat,GJ,3.0
Vaishali,Bihar,BR,2.0
Valsad,Gujarat,GJ,2.0
Varanasi,Uttar Pradesh,UP,3.0
Vellore,Tamil Nadu,TN,3.0
Vidisha,Madhya Pradesh,MP,2.0
Vijayapura,Karnataka,KA,2.0
Vikarabad,Telangana,TG,3.0
Viluppuram,Tamil Nadu,TN,2.0
Virudhunagar,Tamil Nadu,TN,3.0
Visakhapatnam,Andhra Pradesh,AP,2.0
Vizianagaram,Andhra Pradesh,AP,2.0
Wanaparthy,Telangana,TG,1.0
Warangal Rural,Telangana,TG,1.0
Warangal Urban,Telangana,TG,3.0
Wardha,Maharashtra,MH,1.0
Washim,Maharashtra,MH,1.0
Wayanad,Kerala,KL,2.0
West Champaran,Bihar,BR,1.0
West District,Sikkim,SK,1.0
West Garo Hills,Meghalaya,ML,1.0
West Godavari,Andhra Pradesh,AP,2.0
West Jaintia Hills,Meghalaya,ML,1.0
West Kameng,Arunachal Pradesh,AR,1.0
West Karbi Anglong,Assam,AS,1.0
West Khasi Hills,Meghalaya,ML,1.0
West Siang,Arunachal Pradesh,AR,1.0
West Singhbhum,Jharkhand,JH,1.0
West Tripura,Tripura,TR,1.0
Wokha,Nagaland,NL,1.0
Y.S.R. Kadapa,Andhra Pradesh,AP,2.0
Yadadri Bhuvanagiri,Telangana,TG,1.0
Yadgir,Karnataka,KA,1.0
Yamunanagar,Haryana,HR,2.0
Yanam,Puducherry,PY,1.0
Yavatmal,Maharashtra,MH,3.0
Zunheboto,Nagaland,NL,1.0
