,Unnamed: 0,DaysFromFirstDate,State,district,Gender_F,Gender_M,Gender_Non-Binary,Married_couples_3_Households,Religion_Not_Stated,deceased,Sikhs,Married_couples_None_Households,Power_Parity_Rs_330000_425000,Population,Power_Parity_Above_Rs_545000,DaysFromFirstDate_y,Households_with_Telephone_Mobile_Phone_Both,Muslims,Main_source_of_drinking_water_River_Canal_Households,Literate,Household_size_9_persons_and_above_Households,Cultivator_Workers,Female_Workers,Other_Workers,Gender_Ratio,Power_Parity_Rs_240000_330000,Illiterate_Education,Household_size_1_person_Households,Total_Power_Parity,Christians,Households_with_Computer,active,LPG_or_PNG_Households,NumRuralHospitals_NHP18,Household_size_6_8_persons_Households,Area,Households_with_Television,Power_Parity_Rs_150000_330000,Households_with_Telephone_Mobile_Phone_Mobile_only,Married_couples_3_or_more_Households,Female,Not_having_bathing_facility_within_the_premises_Total_Households,TotalPublicHealthFacilities_HMIS,Total_Education,Secondary_Education,Non_Workers,Type_of_bathing_facility_Enclosure_without_roof_Households,Power_Parity_Rs_425000_545000,Households_with_Internet,Households_with_Radio_Transistor,Household_size_1_to_2_persons,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,District_code,Male,Negative,Household_Workers,Type_of_latrine_facility_Pit_latrine_Households,SC,Location_of_drinking_water_source_Away_Households,Agricultural_Workers,Power_Parity_Rs_90000_150000,NumUrbanHospitals_NHP18,Households_with_Telephone_Mobile_Phone,Households,Households_with_separate_kitchen_Cooking_inside_house,Main_source_of_drinking_water_Tapwater_Households,TotalSamples,Other_Education,NumUrbanBeds_NHP18,Hindus,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Near_the_premises_Households,Male_Workers,Housholds_with_Electric_Lighting,Having_bathing_facility_Total_Households,Male_ST,Married_couples_1_Households,Population.1,Primary_Education,Households_with_Car_Jeep_Van,Power_Parity_Rs_150000_240000,Age_Group_0_29,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,NumDistrictHospitals_HMIS,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Literate_Education,Main_source_of_drinking_water_Un_covered_well_Households,Having_latrine_facility_within_the_premises_Total_Households,Married_couples_5__Households,Positive,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,NumRuralBeds_NHP18,Type_of_latrine_facility_Other_latrine_Households,Location_of_drinking_water_source_Within_the_premises_Households,Power_Parity_Rs_45000_150000,confirmed,DaysFromFirstDate_x,type_Private Laboratory,Power_Parity_Less_than_Rs_45000,Jains,Married_couples_2_Households,Main_Workers,Marginal_Workers,Buddhists,Others_Religions,Household_size_2_persons_Households,Household_size_3_to_5_persons_Households,Condition_of_occupied_census_houses_Dilapidated_Households,Male_SC,Power_Parity_Rs_330000_545000,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Higher_Education,Type_of_fuel_used_for_cooking_Any_other_Households,Rural_population,Rural_Households,Male_Literate,Age_Group_50,recovered,Household_size_3_persons_Households,Urban_population,NumPublicBeds_HMIS,Female_Literate,Workers,Graduate_Education,Power_Parity_Rs_45000_90000,Household_size_5_persons_Households,type_Government Laboratory,Urban_Households,type_Collection Site,Ownership_Owned_Households,Age_Group_30_49,Households_with_Scooter_Motorcycle_Moped,NumPrimaryHealthCenters_HMIS,Female_ST,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Households_with_Bicycle,NumSubDistrictHospitals_HMIS,Middle_Education,Main_source_of_drinking_water_Spring_Households,Ownership_Rented_Households,Married_couples_4_Households,Below_Primary_Education,Households_with_Telephone_Mobile_Phone_Landline_only,zone,NumCommunityHealthCenters_HMIS,Household_size_4_persons_Households,ST,Density,Female_SC,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Age_not_stated,state_active,state_recovered,state_deceased
229,229,10,Tamil Nadu,Nagapattinam,0,1,0,3303,3475,0,184,68437,110,72147030,170,106,35755,128617,71,1213008,4363,67482,210820,247900,996,253,253572,23473,3026,47579,19692,3,143846,692,54186,"130,058",362211,566,216892,3832,818323,256993,2581,1560262,249630,944456,35519,157,5585,111474,80737,134810,618,798127,124852,11555,13592,509767,25170,345057,697,525,282418,517740,352112,266938,129363,35762,37353,1435072,3838,20471,282989,461174,381940,155663,1847,308480,1616450,323359,9042,313,828444,506,32,9238,1306690,5211,163184,93,2526,4351,40179,2193,104497,1689,45,106,10,334,963,31907,486328,185666,450,110,57264,273370,12469,252332,267,291,122350,132,37229590,399016,640916,323706,42,75810,34917440,72616,572092,671994,125639,992,79246,16,118724,0,365468,463326,86939,1854,1909,238621,219886,310,313357,151,40644,436,136593,29771,2,385,118314,3756,555,257435,5329,974,991,563,22
230,230,10,Tamil Nadu,Thanjavur,2,0,0,6279,2805,0,231,93957,187,72147030,348,106,42853,190814,152,1790998,7394,129913,293596,397605,996,389,461123,31686,4914,133971,42912,21,223044,692,82659,"130,058",522490,992,374054,7135,1223474,329940,2581,2273994,373111,1431811,59898,370,13495,137848,109324,97701,620,1182416,124852,31200,18669,455062,20460,415361,1064,525,446982,753372,514461,499900,129363,49261,37353,2075870,2937,34935,374666,680483,555582,275134,1739,445798,2405890,431983,17231,603,1193095,9827,32,24121,1812871,1831,272623,146,2526,4635,40179,10854,209948,2538,56,106,10,481,1256,58184,834484,139595,795,148,77638,405697,21937,225859,557,98,178126,171,37229590,479070,944264,499235,35,111423,34917440,72616,846734,974079,222410,1474,114151,16,274302,0,475525,712017,161750,1854,1822,307799,343328,310,419605,1448,108700,710,138375,30075,3,385,180123,3561,555,229203,6974,1543,991,563,22
231,231,10,Tamil Nadu,Thiruvallur,1,5,0,9615,18959,0,1422,117828,472,72147030,580,106,78827,143093,412,2791721,12554,73444,434491,1135784,996,455,610048,32054,7731,233633,174279,18,621907,692,103687,"130,058",857364,1592,630578,10766,1852042,151979,2581,3297728,622789,2190050,133464,876,75634,222750,150892,175520,602,1876062,124852,58240,76666,821646,63193,270586,1732,525,772398,1119433,805187,625071,129363,66378,37353,3325823,41640,148885,531907,1103563,909400,786843,23692,717165,3728104,461918,54505,1137,1925296,5948,32,112276,2687680,53570,636991,130,2526,44284,40179,11779,343722,3672,62,106,10,539,3693,93063,1247918,290136,951,530,118838,671689,17057,410526,1348,858,303091,474,37229590,387237,1495711,643614,44,185181,34917440,72616,1296010,1538054,451321,1940,164709,16,732196,0,636443,1154775,363741,1854,23551,280985,374923,310,600731,1374,291863,1021,181452,62993,3,385,321799,47243,555,411120,10795,4419,991,563,22
232,232,10,Tamil Nadu,Viluppuram,0,1,0,12652,6884,2,325,102350,118,72147030,143,106,27731,133896,1555,2195776,16143,369646,685866,463153,996,437,999902,27779,5306,138279,43311,27,228172,692,154822,"130,058",676077,1001,484134,14726,1718054,496584,2581,3430072,508930,1755624,125683,271,8472,101921,114590,90689,607,1740819,124852,38237,21746,1015716,57534,832213,1041,525,547305,967314,459716,663958,129363,45680,37353,3174941,5283,59841,612231,1017383,748444,307759,37570,579796,3458873,646306,13030,564,1881463,1117,32,14829,2430170,35352,169801,368,2526,9540,40179,3534,134578,3043,55,106,10,730,4032,107471,1260802,442447,238,278,86811,518788,15143,510869,389,1860,246856,190,37229590,808042,1234479,624042,26,120940,34917440,72616,961297,1703249,229726,2002,175528,16,159272,0,726665,949892,184050,1854,37289,621276,351418,310,549742,842,67280,1706,202930,35440,2,385,222320,74859,555,504847,7054,3476,991,563,22
239,239,11,Gujarat,Ahmedabad,8,12,0,63618,7415,185,14542,153824,1237,60439692,2909,107,195632,883238,2447,5435760,81116,142670,467405,2128452,919,2376,1129562,50790,18633,50754,273651,2896,965017,364,349856,"196,024",1159650,4109,923594,74104,3426174,199534,2236,6934861,1135058,4619273,70963,2022,126341,501082,182733,180755,474,3788051,69062,54876,22004,759483,62436,268954,5241,122,1196482,2198552,1378412,1265476,74116,100831,20565,6042416,13190,158096,145695,2127547,1456046,1295122,47106,1002327,7214225,1614370,174812,1733,3952858,2149,37,228737,5805299,17376,1241055,1649,5054,19560,11715,3147,1286525,7742,3543,107,4,614,209287,264401,2332409,262543,4518,2055,131943,880951,12177,399075,3259,3407,549188,406,34694609,353169,3025463,1198152,462,210889,25745083,41129,2410297,2594952,839295,2501,294359,10,1845383,0,1193694,2043895,692591,1770,42032,199006,680535,44,805199,516,269205,8837,761358,77256,3,385,375703,89138,308,360408,6313,19320,3623,734,242
240,240,11,Gujarat,Anand,0,1,0,20634,2719,5,1524,52524,250,60439692,538,107,34679,250919,188,1551253,27026,152412,217233,329593,919,314,360506,18243,4372,29789,32523,38,147122,364,110412,"196,024",203467,707,187528,23887,1005521,172481,2236,1949453,283571,1247951,42320,368,9902,64013,58103,78937,482,1087224,69062,16460,25352,104465,44677,346329,1293,122,244185,621987,344329,323542,74116,20487,20565,1798794,3879,51975,98762,627561,378310,254683,12761,266912,2092745,560542,19352,393,1134962,443,37,20391,1588947,9141,230571,569,5054,4193,11715,707,283725,2246,74,107,4,261,8591,83841,690031,154763,267,142,39860,231623,7967,54476,618,71,127459,183,34694609,413078,874481,366419,31,52344,25745083,41129,676772,844794,110351,953,84504,10,208909,0,379759,585093,104613,1770,12063,191147,172466,44,229013,55,31488,2684,257524,21978,3,385,94775,24824,308,49989,5017,6271,3623,734,242
241,241,11,Gujarat,Surat,1,1,0,42215,3945,28,5703,216710,1170,60439692,1684,107,100342,660772,402,4571410,59925,109549,410723,2076214,919,1700,942150,48229,16368,21052,149331,530,815423,364,276610,"196,024",788447,3480,855336,49399,2679098,149151,2236,5438048,896927,3527780,157733,1924,55694,395329,174440,207420,492,3402224,69062,42040,23291,158115,62145,325739,4428,122,995637,1899838,1275151,1047402,74116,79862,20565,5260193,20722,117310,228438,2142819,1252452,1150519,432089,854742,6081322,1332690,106983,1780,3563443,4989,37,112976,4495898,12286,1103767,1103,5054,21375,11715,5698,1009087,7398,657,107,4,712,112835,178819,2405288,148254,12902,3920,126211,788695,8298,82202,3094,84,433651,1308,34694609,369840,2687468,723415,99,193437,25745083,41129,1883942,2553542,379505,2970,254274,10,1529998,0,788508,1740746,530528,1770,424863,149810,397563,44,807021,167,478407,6081,566242,39959,3,385,340984,856952,308,75913,5294,53718,3623,734,242
242,242,11,Gujarat,Vadodara,1,2,0,36738,3110,24,9340,98592,584,60439692,1360,107,83851,384579,5373,2893080,49094,312126,460161,793306,919,924,910219,35169,9753,23813,117818,159,411734,364,206020,"196,024",497049,1813,462473,42196,2011890,247541,2236,3778551,504732,2472153,108542,905,53606,264896,122649,198108,486,2153736,69062,17680,28086,221629,94469,570361,2837,122,583926,1240425,820324,639002,74116,60177,20565,3713941,7232,39945,218599,1233312,798277,632580,586665,566507,4165626,865726,72630,889,2213474,908,37,95845,2868332,16732,543474,824,5054,14552,11715,1375,567053,4617,325,107,4,473,27650,172826,1360660,332813,2069,1124,87480,502358,11888,114602,1489,560,268451,276,34694609,547454,1614087,733710,142,124359,25745083,41129,1278993,1693473,314960,1780,165191,10,692971,0,771779,1190041,351423,1770,563236,323337,399901,44,457662,1387,88479,4634,396624,37602,3,385,212808,1149901,308,107027,7288,28401,3623,734,242
250,250,11,Tamil Nadu,Ariyalur,0,18,0,1243,853,0,104,31577,19,72147030,18,107,7216,7942,275,480604,1353,107312,147304,72138,996,108,233438,12986,1258,37403,8371,19,39642,692,27758,"130,058",165150,229,121775,1339,380191,157985,2581,766139,96860,395043,10906,44,1749,36609,43195,14696,616,374703,135698,13564,4701,176230,12471,166837,234,525,134358,254277,159746,173304,139490,16126,37353,708397,1006,8599,152795,212547,177502,40121,5274,146444,754894,134123,2937,121,380484,153,32,3046,532701,7201,35933,9,2757,2237,40179,588,32840,752,25,107,10,196,65,18746,272241,87610,88,42,30209,125800,6348,88076,63,609,53934,197,37229590,223955,269582,157771,6,35012,34917440,72616,211022,359851,57524,518,37933,16,30322,0,181005,216103,40913,1854,5448,158588,104900,310,113437,347,14004,87,60697,5367,2,385,52855,10722,555,88154,1950,536,1217,651,22
251,251,11,Tamil Nadu,Chennai,61,112,1,15288,38356,17,2851,118340,748,72147030,3686,107,214074,439270,49,3776276,15916,14454,447995,1751824,996,1866,419065,30582,15742,358662,355838,1020,910262,692,122912,"130,058",1055696,3820,688857,17628,2310888,33168,2581,4061097,801050,2829435,15930,1214,217368,398414,169721,170162,603,2335844,135698,37345,7440,779667,16519,13674,3685,525,1017122,1314125,1092062,908587,139490,67277,37353,3751322,18353,43461,245763,1369302,1096334,1073399,5207,859219,4646732,516445,146388,1954,2271657,2888,32,264763,3642032,3500,1057802,414,2757,19543,40179,3927,844285,5802,1260,107,10,471,51708,111380,1619554,197743,2804,1759,139139,798018,9435,389001,1962,80,464207,619,37229590,0,1968079,899279,223,237897,34917440,72616,1808197,1817297,905515,2117,182588,16,1314125,0,522493,1468902,515581,1854,4854,6553,409796,310,720331,1061,565934,1926,167207,114191,3,385,377533,10061,555,390666,2587,6894,1217,651,22
252,252,11,Tamil Nadu,Coimbatore,0,1,0,7282,7483,0,1112,125225,847,72147030,1837,107,90704,211035,1164,2635907,6010,80217,484825,1207622,996,1062,519919,46603,13938,190314,149920,15,675153,692,69356,"130,058",841918,3020,635226,7924,1728748,93422,2581,3024107,526165,1890095,156267,1435,63273,286145,202265,30861,632,1729297,135698,50085,71781,535911,36623,230026,3206,525,777347,1169752,895691,886960,139490,53709,37353,3044145,7643,27863,349543,1083125,896325,852521,14245,730354,3458045,466745,87211,1958,1579517,3270,32,109489,2504188,14470,630809,81,2757,9663,40179,5995,559777,6074,142,107,10,725,3284,82440,1443252,124698,435,237,155662,668312,9138,266960,2282,98,273098,520,37229590,284795,1394790,757738,127,230417,34917440,72616,1241117,1567950,440520,2868,123574,16,884957,0,561733,1117221,445588,1854,14097,209677,353990,310,523563,758,346382,561,220388,51417,2,385,314321,28342,555,268951,6993,3569,1217,651,22
253,253,11,Tamil Nadu,Cuddalore,1,1,0,6433,5101,0,401,90912,200,72147030,385,107,29494,123749,464,1815281,7495,165170,420247,433271,996,405,634041,25226,5300,83334,50938,4,244610,692,97658,"130,058",555029,1088,409698,7371,1294217,344306,2581,2502878,386652,1436034,85176,432,15396,121956,101083,122085,617,1311697,135698,32027,23981,763944,35499,539412,1097,525,470021,758209,455369,498446,139490,67411,37353,2391675,4070,62059,389219,749633,598412,293116,7943,473604,2605914,412237,19828,683,1364411,1607,32,27077,1868837,8151,230004,165,2757,6081,40179,3082,212704,2677,30,107,10,519,1280,65535,837271,332609,236,138,75857,431186,13516,383943,632,138,186394,279,37229590,497429,1000322,473617,26,107152,34917440,72616,814959,1169880,227530,1580,131975,16,260780,0,526657,764669,178515,1854,7759,394057,343988,310,418769,1409,98143,773,169844,30829,2,385,192059,15702,555,380001,6763,3217,1217,651,22
254,254,11,Tamil Nadu,Kancheepuram,4,9,0,10013,21978,1,1620,123421,522,72147030,797,107,103399,173785,1411,3013382,11202,89343,492506,1257225,996,560,678374,37098,8349,256762,200738,30,622095,692,115195,"130,058",904619,1698,665334,11193,1985294,188733,2581,3546183,634172,2324438,132855,832,100322,240359,166082,163172,604,2012958,135698,54732,51093,948081,61890,272514,1965,525,832716,1213504,822329,732354,139490,67354,37353,3537399,26856,129924,496248,1181308,961161,805076,20605,761575,3998252,535947,68427,1138,2076492,5912,32,137686,2867809,39231,651240,155,2757,32942,40179,9902,435671,3958,40,107,10,541,4962,97620,1367378,306436,990,756,128984,701330,13344,474264,1354,3262,312208,475,37229590,438799,1611461,715895,9,196143,34917440,72616,1401921,1673814,526886,1993,179266,16,774705,0,700252,1200284,418526,1854,20605,323242,425865,310,608188,1413,281627,1025,183054,63983,3,385,325921,41210,555,473817,9949,5581,1217,651,22
255,255,11,Tamil Nadu,Madurai,0,1,0,7350,8602,2,520,112608,372,72147030,738,107,47472,168881,810,2273430,8561,92719,451928,841792,996,502,449125,40659,6917,97711,95311,44,391821,692,83006,"130,058",708942,1482,530152,8241,1511777,246100,2581,2847799,453509,1683620,66623,710,34097,228106,153915,90919,623,1526475,135698,47293,26772,408976,65204,372828,1526,525,618922,1010441,714764,678712,139490,39350,37353,2760502,19034,62999,434208,902704,754141,551839,5622,605700,3038252,525151,30852,980,1528178,5747,32,54832,2398674,3207,472221,129,2757,23070,40179,8103,298527,3158,88,107,10,458,1532,71390,1173902,180730,199,305,113256,552457,10479,205098,1082,1171,250285,304,37229590,417718,1223810,593827,42,154348,34917440,72616,1049620,1354632,363152,1632,139168,16,592723,0,491822,913715,228557,1854,5474,283179,325803,310,532616,2055,279755,762,234611,41298,3,385,258941,11096,555,203878,7653,2532,1217,651,22
256,256,11,Tamil Nadu,Perambalur,0,2,0,1057,376,0,83,28555,40,72147030,31,107,5841,32702,59,375823,992,117304,137087,58801,996,79,109011,11089,979,10301,7745,8,49390,692,16991,"130,058",125953,166,90597,1159,283066,92948,2581,552384,71650,265497,16674,36,1507,25925,35672,16041,615,282157,135698,5343,4809,175289,9087,118278,242,525,103116,188592,119795,122903,139490,9189,37353,521658,864,9740,111622,162639,135751,56453,1292,105551,565223,106751,2259,87,291371,144,32,2687,443373,7474,33135,10,2757,1923,40179,1033,28692,588,11,107,10,117,38,14136,255097,44629,39,26,24583,95746,2940,87444,76,933,41447,33,37229590,155413,208011,115151,3,28566,34917440,72616,167812,299726,44025,346,26160,16,33179,0,132395,158218,32178,1854,1292,109778,59863,310,85101,67,14725,92,85210,6678,2,385,41020,2584,555,87845,1214,483,1217,651,22
257,257,11,Tamil Nadu,Ramanathapuram,0,2,0,5592,6552,0,154,51020,75,72147030,112,107,16266,208038,3192,978946,7704,173767,210226,250108,996,185,107292,12698,2340,91139,22379,9,100484,692,56029,"130,058",284169,453,217349,6654,670787,198377,2581,1293898,189132,750468,29619,151,5172,67893,50029,26315,626,682658,135698,25228,21480,249008,77511,153874,504,525,252000,417239,244729,190837,139490,16785,37353,1047411,22842,13731,217014,392751,291400,130578,559,232329,1353445,293886,5524,268,708322,1395,32,5886,1186606,48007,120474,217,2757,52359,40179,4182,34430,1282,20,107,10,265,29,38952,486150,116827,86,36,37331,215193,8534,125015,226,25155,105978,112,37229590,290478,536487,252888,11,53869,34917440,72616,442459,602977,97405,778,67432,16,126761,0,270430,389764,49605,1854,546,197472,125445,310,236511,1170,51959,845,246909,18385,2,385,93892,1105,555,123993,6240,2471,1217,651,22
258,258,11,Tamil Nadu,Salem,0,1,0,7933,4547,0,412,132976,437,72147030,515,107,46638,95487,1706,2285562,6260,257004,610363,841443,996,523,955045,54960,8169,53841,63867,9,448968,692,104034,"130,058",749932,1720,564666,8622,1700485,345077,2581,3290477,457866,1787896,176899,943,20660,196973,196664,96292,608,1781571,135698,141503,36933,580512,98845,454210,1727,525,650064,1170352,681331,723966,139490,60365,37353,3326357,6722,77409,593208,1083797,835377,573822,60489,678452,3482056,571061,30660,1197,1737345,32290,32,39279,2335432,79818,321173,80,2757,9970,40179,34442,226846,3912,33,107,10,642,992,98849,1561030,133130,174,246,141704,611941,16423,294062,1380,414,242306,310,37229590,572813,1285107,713294,24,176298,34917440,72616,1000455,1694160,296399,2185,157811,16,597539,0,706525,1029479,352121,1854,58880,495095,441388,310,518763,1128,199211,609,188672,38760,2,385,277832,119369,555,286450,10005,1938,1217,651,22
259,259,11,Tamil Nadu,Thiruvallur,4,4,0,9615,18959,0,1422,117828,472,72147030,580,107,78827,143093,412,2791721,12554,73444,434491,1135784,996,455,610048,32054,7731,233633,174279,25,621907,692,103687,"130,058",857364,1592,630578,10766,1852042,151979,2581,3297728,622789,2190050,133464,876,75634,222750,150892,175520,602,1876062,135698,58240,76666,821646,63193,270586,1732,525,772398,1119433,805187,625071,139490,66378,37353,3325823,41640,148885,531907,1103563,909400,786843,23692,717165,3728104,461918,54505,1137,1925296,5948,32,112276,2687680,53570,636991,130,2757,44284,40179,11779,343722,3672,70,107,10,539,3693,93063,1247918,290136,951,530,118838,671689,17057,410526,1348,858,303091,474,37229590,387237,1495711,643614,45,185181,34917440,72616,1296010,1538054,451321,1940,164709,16,732196,0,636443,1154775,363741,1854,23551,280985,374923,310,600731,1374,291863,1021,181452,62993,3,385,321799,47243,555,411120,10795,4419,1217,651,22
260,260,11,Tamil Nadu,Tiruppur,0,2,0,3576,5076,0,455,99345,576,72147030,1446,107,45363,123983,1574,1760566,2924,135817,446354,842999,996,838,552447,43625,10027,70015,55311,6,463530,692,43837,"130,058",609808,2208,475349,3818,1232893,107839,2581,2229526,298635,1212915,154165,978,17181,177832,172250,52467,633,1246159,135698,40988,67678,395876,32209,246333,2316,525,560785,894908,644967,611353,139490,21436,37353,2278835,6611,47188,342558,819783,655073,592867,2740,543330,2479052,444390,43477,1370,1177987,2277,32,34742,1677079,23777,400593,23,2757,8542,40179,3718,325939,4309,114,107,10,510,371,54213,1168596,97541,198,119,128625,481695,7814,196907,1554,113,170870,401,37229590,356886,959623,504674,108,169098,34917440,72616,800943,1266137,179733,1993,85523,16,538022,0,434928,794639,333579,1854,2718,248181,290774,310,369432,244,251957,219,192583,40073,3,385,227074,5458,555,198969,8039,1752,1217,651,22
261,261,11,Tamil Nadu,Viluppuram,2,0,0,12652,6884,2,325,102350,118,72147030,143,107,27731,133896,1555,2195776,16143,369646,685866,463153,996,437,999902,27779,5306,138279,43311,28,228172,692,154822,"130,058",676077,1001,484134,14726,1718054,496584,2581,3430072,508930,1755624,125683,271,8472,101921,114590,90689,607,1740819,135698,38237,21746,1015716,57534,832213,1041,525,547305,967314,459716,663958,139490,45680,37353,3174941,5283,59841,612231,1017383,748444,307759,37570,579796,3458873,646306,13030,564,1881463,1117,32,14829,2430170,35352,169801,368,2757,9540,40179,3534,134578,3043,57,107,10,730,4032,107471,1260802,442447,238,278,86811,518788,15143,510869,389,1860,246856,190,37229590,808042,1234479,624042,27,120940,34917440,72616,961297,1703249,229726,2002,175528,16,159272,0,726665,949892,184050,1854,37289,621276,351418,310,549742,842,67280,1706,202930,35440,2,385,222320,74859,555,504847,7054,3476,1217,651,22
273,273,12,Tamil Nadu,Ariyalur,0,2,0,1243,853,0,104,31577,19,72147030,18,108,7216,7942,275,480604,1353,107312,147304,72138,996,108,233438,12986,1258,37403,8371,21,39642,692,27758,"130,058",165150,229,121775,1339,380191,157985,2581,766139,96860,395043,10906,44,1749,36609,43195,14696,616,374703,145520,13564,4701,176230,12471,166837,234,525,134358,254277,159746,173304,150107,16126,37353,708397,1006,8599,152795,212547,177502,40121,5274,146444,754894,134123,2937,121,380484,153,32,3046,532701,7201,35933,9,3023,2237,40179,588,32840,752,27,108,10,196,65,18746,272241,87610,88,42,30209,125800,6348,88076,63,609,53934,197,37229590,223955,269582,157771,6,35012,34917440,72616,211022,359851,57524,518,37933,16,30322,0,181005,216103,40913,1854,5448,158588,104900,310,113437,347,14004,87,60697,5367,2,385,52855,10722,555,88154,1950,536,1377,540,22
274,274,12,Tamil Nadu,Chennai,64,139,0,15288,38356,17,2851,118340,748,72147030,3686,108,214074,439270,49,3776276,15916,14454,447995,1751824,996,1866,419065,30582,15742,358662,355838,1196,910262,692,122912,"130,058",1055696,3820,688857,17628,2310888,33168,2581,4061097,801050,2829435,15930,1214,217368,398414,169721,170162,603,2335844,145520,37345,7440,779667,16519,13674,3685,525,1017122,1314125,1092062,908587,150107,67277,37353,3751322,18353,43461,245763,1369302,1096334,1073399,5207,859219,4646732,516445,146388,1954,2271657,2888,32,264763,3642032,3500,1057802,414,3023,19543,40179,3927,844285,5802,1463,108,10,471,51708,111380,1619554,197743,2804,1759,139139,798018,9435,389001,1962,80,464207,619,37229590,0,1968079,899279,250,237897,34917440,72616,1808197,1817297,905515,2117,182588,16,1314125,0,522493,1468902,515581,1854,4854,6553,409796,310,720331,1061,565934,1926,167207,114191,3,385,377533,10061,555,390666,2587,6894,1377,540,22
275,275,12,Tamil Nadu,Coimbatore,2,3,0,7282,7483,1,1112,125225,847,72147030,1837,108,90704,211035,1164,2635907,6010,80217,484825,1207622,996,1062,519919,46603,13938,190314,149920,12,675153,692,69356,"130,058",841918,3020,635226,7924,1728748,93422,2581,3024107,526165,1890095,156267,1435,63273,286145,202265,30861,632,1729297,145520,50085,71781,535911,36623,230026,3206,525,777347,1169752,895691,886960,150107,53709,37353,3044145,7643,27863,349543,1083125,896325,852521,14245,730354,3458045,466745,87211,1958,1579517,3270,32,109489,2504188,14470,630809,81,3023,9663,40179,5995,559777,6074,146,108,10,725,3284,82440,1443252,124698,435,237,155662,668312,9138,266960,2282,98,273098,520,37229590,284795,1394790,757738,133,230417,34917440,72616,1241117,1567950,440520,2868,123574,16,884957,0,561733,1117221,445588,1854,14097,209677,353990,310,523563,758,346382,561,220388,51417,2,385,314321,28342,555,268951,6993,3569,1377,540,22
276,276,12,Tamil Nadu,Cuddalore,1,8,0,6433,5101,0,401,90912,200,72147030,385,108,29494,123749,464,1815281,7495,165170,420247,433271,996,405,634041,25226,5300,83334,50938,13,244610,692,97658,"130,058",555029,1088,409698,7371,1294217,344306,2581,2502878,386652,1436034,85176,432,15396,121956,101083,122085,617,1311697,145520,32027,23981,763944,35499,539412,1097,525,470021,758209,455369,498446,150107,67411,37353,2391675,4070,62059,389219,749633,598412,293116,7943,473604,2605914,412237,19828,683,1364411,1607,32,27077,1868837,8151,230004,165,3023,6081,40179,3082,212704,2677,39,108,10,519,1280,65535,837271,332609,236,138,75857,431186,13516,383943,632,138,186394,279,37229590,497429,1000322,473617,26,107152,34917440,72616,814959,1169880,227530,1580,131975,16,260780,0,526657,764669,178515,1854,7759,394057,343988,310,418769,1409,98143,773,169844,30829,2,385,192059,15702,555,380001,6763,3217,1377,540,22
277,277,12,Tamil Nadu,Madurai,1,1,0,7350,8602,2,520,112608,372,72147030,738,108,47472,168881,810,2273430,8561,92719,451928,841792,996,502,449125,40659,6917,97711,95311,45,391821,692,83006,"130,058",708942,1482,530152,8241,1511777,246100,2581,2847799,453509,1683620,66623,710,34097,228106,153915,90919,623,1526475,145520,47293,26772,408976,65204,372828,1526,525,618922,1010441,714764,678712,150107,39350,37353,2760502,19034,62999,434208,902704,754141,551839,5622,605700,3038252,525151,30852,980,1528178,5747,32,54832,2398674,3207,472221,129,3023,23070,40179,8103,298527,3158,90,108,10,458,1532,71390,1173902,180730,199,305,113256,552457,10479,205098,1082,1171,250285,304,37229590,417718,1223810,593827,43,154348,34917440,72616,1049620,1354632,363152,1632,139168,16,592723,0,491822,913715,228557,1854,5474,283179,325803,310,532616,2055,279755,762,234611,41298,3,385,258941,11096,555,203878,7653,2532,1377,540,22
278,278,12,Tamil Nadu,Thiruvallur,1,1,0,9615,18959,0,1422,117828,472,72147030,580,108,78827,143093,412,2791721,12554,73444,434491,1135784,996,455,610048,32054,7731,233633,174279,27,621907,692,103687,"130,058",857364,1592,630578,10766,1852042,151979,2581,3297728,622789,2190050,133464,876,75634,222750,150892,175520,602,1876062,145520,58240,76666,821646,63193,270586,1732,525,772398,1119433,805187,625071,150107,66378,37353,3325823,41640,148885,531907,1103563,909400,786843,23692,717165,3728104,461918,54505,1137,1925296,5948,32,112276,2687680,53570,636991,130,3023,44284,40179,11779,343722,3672,72,108,10,539,3693,93063,1247918,290136,951,530,118838,671689,17057,410526,1348,858,303091,474,37229590,387237,1495711,643614,45,185181,34917440,72616,1296010,1538054,451321,1940,164709,16,732196,0,636443,1154775,363741,1854,23551,280985,374923,310,600731,1374,291863,1021,181452,62993,3,385,321799,47243,555,411120,10795,4419,1377,540,22
